"시군구명","시간대","분류","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","9","의생활","21","960080","20240101"
"창원시 의창구","9","자동차","26688","1612300834","20240101"
"창원시 의창구","9","주거생활","4120","412243092","20240101"
"창원시 의창구","10","교육","12960","776123097","20240101"
"창원시 의창구","10","기타","2106","245018310","20240101"
"창원시 의창구","10","내구재","1378","66322996","20240101"
"창원시 의창구","10","레포츠/문화/취미","4274","159599710","20240101"
"창원시 의창구","10","서비스","2865","107265217","20240101"
"창원시 의창구","10","식생활","79876","1095679327","20240101"
"창원시 의창구","10","여행","532","17489700","20240101"
"창원시 의창구","10","유통","105380","1595352491","20240101"
"창원시 의창구","10","유흥","10","531000","20240101"
"창원시 의창구","10","의료/미용","102003","7148240024","20240101"
"창원시 의창구","10","의생활","208","9982210","20240101"
"창원시 의창구","10","자동차","29186","1944986125","20240101"
"창원시 의창구","10","주거생활","4537","433392738","20240101"
"창원시 의창구","11","교육","4618","200301650","20240101"
"창원시 의창구","11","기타","1835","162886686","20240101"
"창원시 의창구","11","내구재","1222","35430667","20240101"
"창원시 의창구","11","레포츠/문화/취미","8712","529963875","20240101"
"창원시 의창구","11","서비스","3281","104398195","20240101"
"창원시 의창구","11","식생활","159145","2744882104","20240101"
"창원시 의창구","11","여행","598","19533300","20240101"
"창원시 의창구","11","유통","128095","2152033383","20240101"
"창원시 의창구","11","유흥","15","55000","20240101"
"창원시 의창구","11","의료/미용","106643","7595494186","20240101"
"창원시 의창구","11","의생활","431","25042880","20240101"
"창원시 의창구","11","자동차","29971","1967541033","20240101"
"창원시 의창구","11","주거생활","3530","352500721","20240101"
"창원시 의창구","12","교육","942","96297400","20240101"
"창원시 의창구","12","기타","1264","57909319","20240101"
"창원시 의창구","12","내구재","1250","20851896","20240101"
"창원시 의창구","12","레포츠/문화/취미","12552","568472646","20240101"
"창원시 의창구","12","서비스","4160","84925650","20240101"
"창원시 의창구","12","식생활","330528","6616821439","20240101"
"창원시 의창구","12","여행","537","18849400","20240101"
"창원시 의창구","12","유통","168620","2471362795","20240101"
"창원시 의창구","12","유흥","136","559000","20240101"
"창원시 의창구","12","의료/미용","77581","4572254074","20240101"
"창원시 의창구","12","의생활","760","43017467","20240101"
"창원시 의창구","12","자동차","29500","1769736806","20240101"
"창원시 의창구","12","주거생활","2275","155771258","20240101"
"창원시 의창구","13","교육","1282","154019983","20240101"
"창원시 의창구","13","기타","1895","162461366","20240101"
"창원시 의창구","13","내구재","1869","63084493","20240101"
"창원시 의창구","13","레포츠/문화/취미","13140","360001933","20240101"
"창원시 의창구","13","서비스","3673","131751575","20240101"
"창원시 의창구","13","식생활","245193","5117992396","20240101"
"창원시 의창구","13","여행","612","19200000","20240101"
"창원시 의창구","13","유통","148807","2497172692","20240101"
"창원시 의창구","13","유흥","196","788500","20240101"
"창원시 의창구","13","의료/미용","32128","1976141307","20240101"
"창원시 의창구","13","의생활","870","56738660","20240101"
"창원시 의창구","13","자동차","31847","1870863110","20240101"
"창원시 의창구","13","주거생활","3507","294073040","20240101"
"창원시 의창구","14","교육","1863","257140380","20240101"
"창원시 의창구","14","기타","2351","220783558","20240101"
"창원시 의창구","14","내구재","1501","74618375","20240101"
"창원시 의창구","14","레포츠/문화/취미","14025","314234681","20240101"
"창원시 의창구","14","서비스","4367","203100600","20240101"
"창원시 의창구","14","식생활","163073","3239138770","20240101"
"창원시 의창구","14","여행","657","24290600","20240101"
"창원시 의창구","14","유통","151000","2806719185","20240101"
"창원시 의창구","14","유흥","381","1720952","20240101"
"창원시 의창구","14","의료/미용","76150","3949462200","20240101"
"창원시 의창구","14","의생활","1262","83246080","20240101"
"창원시 의창구","14","자동차","32436","2157579937","20240101"
"창원시 의창구","14","주거생활","3803","332512184","20240101"
"창원시 의창구","15","교육","2353","328398200","20240101"
"창원시 의창구","15","기타","2277","182180998","20240101"
"창원시 의창구","15","내구재","1306","57450719","20240101"
"창원시 의창구","15","레포츠/문화/취미","15854","368261305","20240101"
"창원시 의창구","15","서비스","4221","167879895","20240101"
"창원시 의창구","15","식생활","130904","2309421683","20240101"
"창원시 의창구","15","여행","587","22769208","20240101"
"창원시 의창구","15","유통","161398","3046922026","20240101"
"창원시 의창구","15","유흥","352","1359700","20240101"
"창원시 의창구","15","의료/미용","83842","4141445715","20240101"
"창원시 의창구","15","의생활","1351","99787608","20240101"
"창원시 의창구","15","자동차","34827","2298795493","20240101"
"창원시 의창구","15","주거생활","3215","307992100","20240101"
"창원시 의창구","16","교육","2593","331002428","20240101"
"창원시 의창구","16","기타","2975","105410572","20240101"
"창원시 의창구","16","내구재","1184","52994653","20240101"
"창원시 의창구","16","레포츠/문화/취미","17413","526147129","20240101"
"창원시 의창구","16","서비스","4621","177866634","20240101"
"창원시 의창구","16","식생활","123969","2267765399","20240101"
"창원시 의창구","16","여행","692","41094840","20240101"
"창원시 의창구","16","유통","180277","3214872945","20240101"
"창원시 의창구","16","유흥","554","2156100","20240101"
"창원시 의창구","16","의료/미용","83660","3769722701","20240101"
"창원시 의창구","16","의생활","1303","84446370","20240101"
"창원시 의창구","16","자동차","36817","2338057091","20240101"
"창원시 의창구","16","주거생활","2595","228499167","20240101"
"창원시 의창구","17","교육","2396","374345045","20240101"
"창원시 의창구","17","기타","2920","67920464","20240101"
"창원시 의창구","17","내구재","1000","26235888","20240101"
